Enrollment_ID,Student_ID,Course_ID,Enrollment_Date
401,121,324,2026-12-11
402,199,380,2025-06-19
403,193,357,2025-02-14
404,153,347,2026-11-24
405,193,331,2026-03-31
406,179,337,2026-04-05
407,130,369,2025-09-02
408,140,361,2025-07-18
409,148,387,2026-08-08
410,157,360,2025-10-16
411,200,349,2026-05-30
412,168,354,2025-06-15
413,126,378,2025-05-22
414,133,307,2026-10-19
415,162,348,2026-07-22
416,114,392,2026-06-13
417,116,337,2025-03-27
418,198,321,2025-10-07
419,158,366,2025-05-31
420,156,312,2025-08-16
421,158,345,2025-01-28
422,154,307,2026-02-10
423,165,348,2025-08-30
424,150,311,2026-01-19
425,129,304,2025-11-23
426,113,392,2026-10-28
427,143,319,2025-05-21
428,105,337,2026-04-29
429,190,318,2026-12-24
430,161,358,2026-09-23
431,101,311,2025-01-20
432,133,328,2025-06-03
433,171,394,2026-09-16
434,168,355,2025-04-24
435,200,337,2025-09-01
436,139,316,2025-02-18
437,131,354,2026-10-17
438,180,359,2025-03-06
439,115,364,2026-09-04
440,169,303,2026-10-10
441,166,374,2025-09-05
442,192,319,2025-10-26
443,155,301,2026-09-22
444,146,331,2026-08-08
445,154,324,2026-11-12
446,186,311,2026-06-21
447,147,309,2026-06-23
448,170,365,2026-06-04
449,171,303,2026-02-04
450,161,306,2026-10-13
451,150,348,2025-09-17
452,196,303,2026-01-01
453,109,345,2025-09-04
454,194,385,2026-10-06
455,114,399,2026-08-19
456,195,397,2025-12-07
457,118,306,2025-12-27
458,170,344,2026-10-21
459,123,400,2026-12-03
460,160,390,2026-05-06
461,181,324,2025-05-19
462,109,392,2026-04-14
463,105,338,2025-07-26
464,106,326,2025-02-12
465,141,340,2026-06-12
466,151,370,2026-04-30
467,133,305,2026-10-25
468,125,337,2026-01-01
469,200,307,2026-11-03
470,143,335,2025-05-08
471,148,356,2026-02-14
472,196,357,2026-01-31
473,144,324,2026-05-24
474,189,364,2026-01-12
475,167,335,2025-03-26
476,194,355,2025-03-22
477,156,378,2025-07-04
478,170,338,2025-11-25
479,114,311,2025-12-02
480,185,338,2025-11-10
481,158,378,2026-03-13
482,122,389,2026-03-31
483,145,358,2025-02-13
484,194,346,2026-09-22
485,156,336,2026-10-17
486,108,310,2026-11-19
487,182,352,2026-01-08
488,166,396,2026-11-27
489,121,304,2025-05-27
490,178,387,2026-03-25
491,105,317,2025-03-10
492,131,400,2026-10-23
493,147,347,2026-01-28
494,173,305,2026-09-12
495,120,387,2026-04-06
496,148,348,2026-03-31
497,198,310,2026-08-11
498,118,368,2026-01-11
499,151,341,2026-10-28
500,136,332,2025-04-27
